setting	step	option_a	option_b	metric	paired_comparisons	option_a_wins	ties	option_b_wins	option_a_win_rate	median_difference_a_minus_b	mean_difference_a_minus_b
LFQ	imputation	knn	seqknn	pauc005	240	70	0	170	0.2916666666666667	-0.0013020493610314543	-0.002034392294708841
LFQ	imputation	knn	seqknn	pauc01	240	61	0	179	0.25416666666666665	-0.0012356672499758137	-5.663869440342001e-05
LFQ	imputation	knn	seqknn	nmcc	240	27	63	150	0.1125	-0.0019044617311744783	-0.009362835384227743
LFQ	imputation	knn	seqknn	gmean	240	19	63	158	0.07916666666666666	-0.005898189898004308	-0.011546421146368786
LFQ	imputation	mindet	minprob	pauc001	240	186	0	54	0.775	0.0013340553218819107	0.0037373518085313585
LFQ	imputation	mindet	minprob	pauc005	240	162	0	78	0.675	0.0011704975742562462	0.0034677469031441097
LFQ	imputation	mindet	minprob	pauc01	240	164	0	76	0.6833333333333333	0.0013341736913116686	0.003976426326428864
LFQ	imputation	mindet	minprob	nmcc	240	128	64	48	0.5333333333333333	0.0010248366536841358	0.0021837623399288066
LFQ	imputation	mindet	minprob	gmean	240	144	68	28	0.6	0.005780164559828882	0.013622111878978412
LFQ	imputation	mindet	none	pauc001	240	129	0	111	0.5375	0.0002966900369948122	-0.00915128697325549
LFQ	imputation	mindet	none	pauc005	240	120	0	120	0.5	0.0003049004739952288	0.0038029849384466556
LFQ	imputation	mindet	none	pauc01	240	124	0	116	0.5166666666666667	0.003352773803156295	0.011052414099267993
LFQ	imputation	mindet	none	nmcc	240	107	60	73	0.44583333333333336	0.0	0.0024910666801069028
LFQ	imputation	mindet	none	gmean	240	129	62	49	0.5375	0.004567988977963594	0.004580196270552302
LFQ	imputation	mindet	qrilc	pauc001	240	193	0	47	0.8041666666666667	0.0030507154550944993	0.011995679864433373
LFQ	imputation	mindet	qrilc	pauc005	240	192	0	48	0.8	0.0036398779969566974	0.012795431990114004
LFQ	imputation	mindet	qrilc	pauc01	240	208	0	32	0.8666666666666667	0.00377176217068359	0.011787133930004837
LFQ	imputation	mindet	qrilc	nmcc	240	134	60	46	0.5583333333333333	0.0023257744847603457	0.002613890809099528
LFQ	imputation	mindet	qrilc	gmean	240	149	65	26	0.6208333333333333	0.01588632467630896	0.026244793379308604
LFQ	imputation	mindet	seqknn	pauc001	240	133	0	107	0.5541666666666667	0.0002619864399691918	-0.002961545814894523
LFQ	imputation	mindet	seqknn	pauc005	240	111	0	129	0.4625	-0.0015710114339462233	-0.0048949998998464445
LFQ	imputation	mindet	seqknn	pauc01	240	115	0	125	0.4791666666666667	-0.0006353236431579923	-0.003537151455854857
LFQ	imputation	mindet	seqknn	nmcc	240	86	58	96	0.35833333333333334	0.0	-0.004344752076571383
LFQ	imputation	mindet	seqknn	gmean	240	72	60	108	0.3	0.0	-0.021177732543426326
LFQ	imputation	minprob	none	pauc001	240	108	0	132	0.45	-0.00044830742515405975	-0.01288863878178685
LFQ	imputation	minprob	none	pauc005	240	115	0	125	0.4791666666666667	-0.0011500961671747079	0.0003352380353025467
LFQ	imputation	minprob	none	pauc01	240	119	0	121	0.49583333333333335	-0.0005846801947355096	0.007075987772839132
LFQ	imputation	minprob	none	nmcc	240	101	64	75	0.42083333333333334	0.0	0.00030730434017809766
LFQ	imputation	minprob	none	gmean	240	96	64	80	0.4	0.0	-0.00904191560842611
LFQ	imputation	minprob	qrilc	pauc001	240	186	0	54	0.775	0.0019074551802497064	0.008258328055902016
